PS C:\Users\sacha> scoop search
Results from local buckets...

Name                               Version                                  Source Binaries
caffeine                           1.97                                     extras
cairo-desktop                      0.4.245                                  extras
calibre-normal                     6.17.0                                   extras
calibre                            6.17.0                                   extras
camo-studio                        2.0.2.9265                               extras
camstudio                          2.7.4-r354                               extras
camunda-modeler                    5.11.0                                   extras
capframex                          1.7.1                                    extras
caprine                            2.57.4                                   extras
captfencoder                       3.1.2                                    extras
captura                            8.0.0                                    extras
capture2text                       4.6.3                                    extras
caret                              3.4.6                                    extras
carnac                             2.3.13                                   extras
carotdav                           1.16.2                                   extras
cascadeur                          2023.1.62                                extras
castle-view-image                  2.0.0                                    extras
catalyst                           3.4.5                                    extras
ccextractor                        0.94                                     extras
ccleaner                           6.1.2                                    extras
cdburnerxp                         4.5.8.7128                               extras
cdex                               2.24                                     extras
celestia                           1.6.3                                    extras
centertaskbar                      1.92                                     extras
cfssl                              1.6.4                                    extras
championify                        2.1.5                                    extras
chart-geany                        6.3.3                                    extras
chatgpt                            0.12.0                                   extras
chatterino                         2.4.4                                    extras
chatterino7                        7.4.4                                    extras
chatty                             0.24.1                                   extras
cheat-engine                       7.4                                      extras
checksum-compare                   1.42                                     extras
chef-workstation                   23.5.1039                                extras
cherrytree                         0.99.55.0                                extras
chipmunk                           2.26.3                                   extras
chk                                3.85                                     extras
choeazycopy                        2.0.0.1                                  extras
chrlauncher                        2.6                                      extras
chromas                            2.6.6                                    extras
chromium                           113.0.5672.127-r1121455                  extras
cider                              1.6.0                                    extras
cinny                              2.2.6                                    extras
civo                               1.0.54                                   extras
clash-verge                        1.3.1                                    extras
clash.mini                         0.2.2                                    extras
classyshark                        8.2                                      extras
clavier-plus                       11.3.1                                   extras
claws-mail                         3.19.1-1                                 extras
clementine                         1.3.1                                    extras
clingo                             5.4.0                                    extras
clion                              2023.1.3-231.9011.31                     extras
cloudcompare                       2.12.4                                   extras
cloudfoundry-cli                   7.6.0                                    extras
clumsy                             0.2                                      extras
clustal-omega                      1.2.2                                    extras
clustalw                           2.1                                      extras
clustalx                           2.1                                      extras
cmdow                              1.4.8                                    extras
code-minimap                       0.6.4                                    extras
codeblocks-mingw                   20.03                                    extras
codeblocks                         20.03                                    extras
codetrack                          1.0.3.3                                  extras
colon                              1.4.4                                    extras
color-cop                          5.4.5                                    extras
color-sustainer                    1.05                                     extras
colorcontrol                       9.4.0.0                                  extras
commandbox                         5.9.0                                    extras
compactgui                         2.6.2                                    extras
compactor                          0.10.1                                   extras
compatibility-manager              1.1.2                                    extras
conemu-color-themes                .june.2020.2                             extras
conemu                             22.12.18                                 extras
confuser-ex                        1.6.0                                    extras
console2                           2.0.0.148                                extras
consolez                           1.19.0.19104                             extras
context-menu-manager               3.3.3.1                                  extras
contour                            0.3.11.258                               extras
converseen                         0.9.11.1                                 extras
convert.net                        10.5.8419                                extras
cookiecutter                       2.1.1                                    extras
coppeliasim                        4.5.1_rev4                               extras
copyq                              7.0.0                                    extras
copytranslator                     11.0.2                                   extras
coreftp                            2.2-1960                                 extras
coretemp                           1.18                                     extras
cpkeeper                           0.5                                      extras
cpu-v                              2.0.4                                    extras
cpu-z                              2.05                                     extras
crow-translate                     2.10.4                                   extras
cru                                1.5.2                                    extras
cruft                              2.15.0                                   extras
crunchy-cli                        2.3.6                                    extras
cryptomator                        1.8.0                                    extras
crystaldiskinfo                    8.17.14                                  extras
crystaldiskmark                    8.0.4c                                   extras
ctypes                             2.6.5                                    extras
cubiomes-viewer                    3.2.1                                    extras
cudatext                           1.194.4.0                                extras
cuetools                           2.2.3                                    extras
cupscale                           1.39.0f1                                 extras
cura                               5.3.1                                    extras
cutter                             2.2.1                                    extras
cv4pve-pepper                      1.6.1                                    extras
cyberduck                          8.5.9.39636                              extras
czkawka-gui                        5.1.0                                    extras
dadroitjsonviewer                  2.0.1.845                                extras
dangerzone                         0.4.1                                    extras
darktable                          4.2.1                                    extras
darteditor                         1.6.0                                    extras
dartium-content-shell              1.24.2                                   extras
dartium                            1.24.2                                   extras
dasel                              2.2.0                                    extras
database.net                       35.2.8495.1                              extras
datagrip                           2023.1.2-231.9011.35                     extras
dataspell                          2023.1.2-231.9011.36                     extras
dbeaver                            23.0.4                                   extras
dbgl                               0.97                                     extras
dbvis                              23.2.2                                   extras
